oid,uid,date,product_name,pid,price,brand
23,688,22/09/2021,hamburger meat,68,461,Springer
24,15,22/09/2021,hamburger meat,68,461,Springer
24,15,22/09/2021,whole milk,164,176,Mother Dairy
24,15,22/09/2021,fish,52,435,Costa's
24,15,22/09/2021,frankfurter,56,102,Springer
24,15,22/09/2021,packaged fruit/vegetables,103,268,Fressco
25,1624,15/09/2021,pastry,105,184,MTR
25,1624,15/09/2021,other vegetables,102,331,Fressco
25,1624,15/09/2021,misc. beverages,92,493,Minute Maid
25,1624,15/09/2021,frankfurter,56,102,Springer
25,1624,15/09/2021,sparkling wine,142,250,Budweiser
26,1269,15/09/2021,specialty bar,143,85,True elements
26,1269,15/09/2021,sausage,130,201,True elements
26,1269,15/09/2021,curd cheese,41,351,Amul
26,1269,15/09/2021,frankfurter,56,102,Springer
26,1269,15/09/2021,whole milk,164,176,Mother Dairy
27,416,27/07/2021,newspapers,95,84,Origami
27,416,27/07/2021,berries,9,252,Rivendell
27,416,27/07/2021,curd,40,473,Mother Dairy
27,416,27/07/2021,tropical fruit,156,424,Fressco
27,416,27/07/2021,soda,138,165,TATA
28,380,27/07/2021,rolls/buns,122,316,Godrej
28,380,27/07/2021,canned beer,20,280,Budweiser
28,380,27/07/2021,canned beer,20,280,Budweiser
28,380,27/07/2021,frankfurter,56,102,Springer
28,380,27/07/2021,other vegetables,102,331,Fressco
29,1,9/4/2021,whole milk,164,176,Mother Dairy
29,1,9/4/2021,whole milk,164,176,Mother Dairy
29,1,9/4/2021,citrus fruit,30,471,Rivendell
29,1,9/4/2021,frankfurter,56,102,Springer
29,1,9/4/2021,frankfurter,56,102,Springer
30,1022,9/4/2021,butter milk,16,464,Amul
30,1022,9/4/2021,hamburger meat,68,461,Springer
30,1022,9/4/2021,pasta,104,230,MTR
30,1022,9/4/2021,other vegetables,102,331,Fressco
30,1022,9/4/2021,sausage,130,201,True elements
31,1565,12/8/2021,rolls/buns,122,316,Godrej
31,1565,12/8/2021,grapes,65,296,Fressco
31,1565,12/8/2021,root vegetables,123,401,Ocean's Secret
31,1565,12/8/2021,coffee,34,476,Nescafe
31,1565,12/8/2021,popcorn,110,383,Nestle
32,1886,12/8/2021,whole milk,164,176,Mother Dairy
32,1886,12/8/2021,tropical fruit,156,424,Fressco
32,1886,12/8/2021,beef,8,182,Costa's
32,1886,12/8/2021,whole milk,164,176,Mother Dairy
32,1886,12/8/2021,frankfurter,56,102,Springer
33,495,19/08/2021,tropical fruit,156,424,Fressco
33,495,19/08/2021,canned beer,20,280,Budweiser
33,495,19/08/2021,finished products,51,57,Lankmark
33,495,19/08/2021,beverages,10,305,Minute Maid
33,495,19/08/2021,hamburger meat,68,461,Springer
34,1234,19/08/2021,whole milk,164,176,Mother Dairy
34,1234,19/08/2021,finished products,51,57,Lankmark
34,1234,19/08/2021,other vegetables,102,331,Fressco
34,1234,19/08/2021,ham,67,412,Costa's
34,1234,19/08/2021,other vegetables,102,331,Fressco
35,1748,1/6/2021,curd,40,473,Mother Dairy
35,1748,1/6/2021,bottled beer,11,273,Budweiser
35,1748,1/6/2021,curd,40,473,Mother Dairy
35,1748,1/6/2021,whole milk,164,176,Mother Dairy
35,1748,1/6/2021,whole milk,164,176,Mother Dairy
36,538,1/6/2021,dessert,44,266,Nestle
36,538,1/6/2021,sausage,130,201,True elements
36,538,1/6/2021,other vegetables,102,331,Fressco
36,538,1/6/2021,ham,67,412,Costa's
36,538,1/6/2021,other vegetables,102,331,Fressco
37,645,20/08/2021,other vegetables,102,331,Fressco
37,645,20/08/2021,soda,138,165,TATA
37,645,20/08/2021,herbs,70,378,Fressco
37,645,20/08/2021,frankfurter,56,102,Springer
37,645,20/08/2021,rolls/buns,122,316,Godrej
38,187,20/08/2021,curd,40,473,Mother Dairy
38,187,20/08/2021,frankfurter,56,102,Springer
38,187,20/08/2021,other vegetables,102,331,Fressco
38,187,20/08/2021,dog food,48,228,Whiskas
38,187,20/08/2021,specialty bar,143,85,True elements
39,691,1/4/2021,curd,40,473,Mother Dairy
39,691,1/4/2021,frankfurter,56,102,Springer
39,691,1/4/2021,soda,138,165,TATA
39,691,1/4/2021,beef,8,182,Costa's
39,691,1/4/2021,canned beer,20,280,Budweiser
40,762,1/4/2021,pork,111,74,Springer
40,762,1/4/2021,frankfurter,56,102,Springer
40,762,1/4/2021,sausage,130,201,True elements
40,762,1/4/2021,canned beer,20,280,Budweiser
40,762,1/4/2021,specialty chocolate,145,414,Cadbury
41,653,9/4/2021,curd,40,473,Mother Dairy
41,653,9/4/2021,canned beer,20,280,Budweiser
41,653,9/4/2021,whole milk,164,176,Mother Dairy
41,653,9/4/2021,rolls/buns,122,316,Godrej
41,653,9/4/2021,pork,111,74,Springer
42,499,9/4/2021,citrus fruit,30,471,Rivendell
42,499,9/4/2021,pot plants,112,238,Origami
42,499,9/4/2021,rolls/buns,122,316,Godrej
42,499,9/4/2021,butter,15,389,Amul
42,499,9/4/2021,condensed milk,35,206,Amul
43,1615,15/09/2021,sausage,130,201,True elements
43,1615,15/09/2021,whole milk,164,176,Mother Dairy
43,1615,15/09/2021,sausage,130,201,True elements
43,1615,15/09/2021,beverages,10,305,Minute Maid
43,1615,15/09/2021,beverages,10,305,Minute Maid
44,1057,15/09/2021,bottled water,12,62,Bisleri
44,1057,15/09/2021,newspapers,95,84,Origami
44,1057,15/09/2021,cleaner,31,212,Harpic
44,1057,15/09/2021,sausage,130,201,True elements
44,1057,15/09/2021,newspapers,95,84,Origami
45,1273,26/07/2021,sausage,130,201,True elements
45,1273,26/07/2021,misc. beverages,92,493,Minute Maid
45,1273,26/07/2021,white wine,163,385,Blender Spride
45,1273,26/07/2021,sausage,130,201,True elements
45,1273,26/07/2021,meat,90,190,Costa's
46,1231,26/07/2021,frankfurter,56,102,Springer
46,1231,26/07/2021,ice cream,74,323,Mother Dairy
46,1231,26/07/2021,canned beer,20,280,Budweiser
46,1231,26/07/2021,tropical fruit,156,424,Fressco
46,1231,26/07/2021,meat,90,190,Costa's
47,424,16/08/2021,whole milk,164,176,Mother Dairy
47,424,16/08/2021,sausage,130,201,True elements
47,424,16/08/2021,frankfurter,56,102,Springer
47,424,16/08/2021,meat,90,190,Costa's
47,424,16/08/2021,root vegetables,123,401,Ocean's Secret
48,240,16/08/2021,root vegetables,123,401,Ocean's Secret
48,240,16/08/2021,whole milk,164,176,Mother Dairy
48,240,16/08/2021,citrus fruit,30,471,Rivendell
48,240,16/08/2021,citrus fruit,30,471,Rivendell
48,240,16/08/2021,other vegetables,102,331,Fressco
49,377,8/6/2021,citrus fruit,30,471,Rivendell
49,377,8/6/2021,sausage,130,201,True elements
49,377,8/6/2021,frankfurter,56,102,Springer
49,377,8/6/2021,hard cheese,69,460,Mother Dairy
49,377,8/6/2021,cream cheese ,39,426,Mother Dairy
50,1846,8/6/2021,turkey,157,130,Costa's
50,1846,8/6/2021,pork,111,74,Springer
50,1846,8/6/2021,whole milk,164,176,Mother Dairy
50,1846,8/6/2021,rolls/buns,122,316,Godrej
50,1846,8/6/2021,sausage,130,201,True elements
51,1986,9/4/2021,ice cream,74,323,Mother Dairy
51,1986,9/4/2021,liquor,82,381,Budweiser
51,1986,9/4/2021,pip fruit,109,167,Fressco
51,1986,9/4/2021,root vegetables,123,401,Ocean's Secret
51,1986,9/4/2021,soda,138,165,TATA
52,1701,9/4/2021,soda,138,165,TATA
52,1701,9/4/2021,sausage,130,201,True elements
52,1701,9/4/2021,root vegetables,123,401,Ocean's Secret
52,1701,9/4/2021,pork,111,74,Springer
52,1701,9/4/2021,pork,111,74,Springer
53,1386,26/08/2021,chocolate,28,435,Cadbury
53,1386,26/08/2021,fruit/vegetable juice,64,183,Real
53,1386,26/08/2021,pickled vegetables,108,389,MTR
53,1386,26/08/2021,bottled water,12,62,Bisleri
53,1386,26/08/2021,frankfurter,56,102,Springer
54,463,26/08/2021,tropical fruit,156,424,Fressco
54,463,26/08/2021,canned beer,20,280,Budweiser
54,463,26/08/2021,root vegetables,123,401,Ocean's Secret
54,463,26/08/2021,meat,90,190,Costa's
54,463,26/08/2021,frankfurter,56,102,Springer
55,815,14/06/2021,tropical fruit,156,424,Fressco
55,815,14/06/2021,tropical fruit,156,424,Fressco
55,815,14/06/2021,citrus fruit,30,471,Rivendell
55,815,14/06/2021,hamburger meat,68,461,Springer
55,815,14/06/2021,chicken,27,312,Costa's
56,759,14/06/2021,chicken,27,312,Costa's
56,759,14/06/2021,frankfurter,56,102,Springer
56,759,14/06/2021,canned beer,20,280,Budweiser
56,759,14/06/2021,turkey,157,130,Costa's
56,759,14/06/2021,packaged fruit/vegetables,103,268,Fressco
57,623,15/09/2021,pasta,104,230,MTR
57,623,15/09/2021,citrus fruit,30,471,Rivendell
57,623,15/09/2021,sausage,130,201,True elements
57,623,15/09/2021,whole milk,164,176,Mother Dairy
57,623,15/09/2021,canned beer,20,280,Budweiser
58,468,15/09/2021,citrus fruit,30,471,Rivendell
58,468,15/09/2021,liquor (appetizer),83,414,Budweiser
58,468,15/09/2021,citrus fruit,30,471,Rivendell
58,468,15/09/2021,sausage,130,201,True elements
58,468,15/09/2021,chicken,27,312,Costa's
59,816,14/07/2021,hamburger meat,68,461,Springer
59,816,14/07/2021,sausage,130,201,True elements
59,816,14/07/2021,beef,8,182,Costa's
59,816,14/07/2021,citrus fruit,30,471,Rivendell
59,816,14/07/2021,UHT-milk,1,95,Amul
60,164,14/07/2021,candy,19,283,Cadbury
60,164,14/07/2021,newspapers,95,84,Origami
60,164,14/07/2021,beef,8,182,Costa's
60,164,14/07/2021,sausage,130,201,True elements
60,164,14/07/2021,frankfurter,56,102,Springer
61,602,24/04/2021,canned beer,20,280,Budweiser
61,602,24/04/2021,bottled beer,11,273,Budweiser
61,602,24/04/2021,onions,99,226,Fressco
61,602,24/04/2021,tropical fruit,156,424,Fressco
61,602,24/04/2021,bottled water,12,62,Bisleri
62,1255,24/04/2021,beef,8,182,Costa's
62,1255,24/04/2021,sausage,130,201,True elements
62,1255,24/04/2021,hair spray,66,216,Set Wet
62,1255,24/04/2021,chicken,27,312,Costa's
62,1255,24/04/2021,pork,111,74,Springer
63,1201,10/6/2021,ice cream,74,323,Mother Dairy
63,1201,10/6/2021,meat,90,190,Costa's
63,1201,10/6/2021,other vegetables,102,331,Fressco
63,1201,10/6/2021,bottled water,12,62,Bisleri
63,1201,10/6/2021,tropical fruit,156,424,Fressco
64,586,10/6/2021,photo/film,107,300,Philips
64,586,10/6/2021,sausage,130,201,True elements
64,586,10/6/2021,grapes,65,296,Fressco
64,586,10/6/2021,domestic eggs,49,437,Henfruit
64,586,10/6/2021,rolls/buns,122,316,Godrej
65,1597,28/04/2021,tropical fruit,156,424,Fressco
65,1597,28/04/2021,chicken,27,312,Costa's
65,1597,28/04/2021,frankfurter,56,102,Springer
65,1597,28/04/2021,berries,9,252,Rivendell
65,1597,28/04/2021,margarine,88,151,TSR
66,826,28/04/2021,tropical fruit,156,424,Fressco
66,826,28/04/2021,ham,67,412,Costa's
66,826,28/04/2021,hamburger meat,68,461,Springer
66,826,28/04/2021,yogurt,165,496,Amul
66,826,28/04/2021,soda,138,165,TATA
67,519,25/09/2021,yogurt,165,496,Amul
67,519,25/09/2021,soda,138,165,TATA
67,519,25/09/2021,bottled water,12,62,Bisleri
67,519,25/09/2021,sausage,130,201,True elements
67,519,25/09/2021,citrus fruit,30,471,Rivendell
68,781,25/09/2021,shopping bags,133,467,Lankmark
68,781,25/09/2021,newspapers,95,84,Origami
68,781,25/09/2021,frankfurter,56,102,Springer
68,781,25/09/2021,sausage,130,201,True elements
68,781,25/09/2021,frankfurter,56,102,Springer
69,1826,20/04/2021,salt,127,315,TATA
69,1826,20/04/2021,oil,98,134,Aashirvaad
69,1826,20/04/2021,curd,40,473,Mother Dairy
69,1826,20/04/2021,other vegetables,102,331,Fressco
69,1826,20/04/2021,citrus fruit,30,471,Rivendell
70,1823,20/04/2021,frankfurter,56,102,Springer
70,1823,20/04/2021,root vegetables,123,401,Ocean's Secret
70,1823,20/04/2021,tropical fruit,156,424,Fressco
70,1823,20/04/2021,beef,8,182,Costa's
70,1823,20/04/2021,berries,9,252,Rivendell
71,118,23/07/2021,canned beer,20,280,Budweiser
71,118,23/07/2021,whipped/sour cream,160,170,Amul
71,118,23/07/2021,root vegetables,123,401,Ocean's Secret
71,118,23/07/2021,whole milk,164,176,Mother Dairy
71,118,23/07/2021,beef,8,182,Costa's
72,1908,23/07/2021,frozen vegetables,63,113,Ocean's Secret
72,1908,23/07/2021,rolls/buns,122,316,Godrej
72,1908,23/07/2021,whole milk,164,176,Mother Dairy
72,1908,23/07/2021,whole milk,164,176,Mother Dairy
72,1908,23/07/2021,citrus fruit,30,471,Rivendell
73,219,24/04/2021,pastry,105,184,MTR
73,219,24/04/2021,frankfurter,56,102,Springer
73,219,24/04/2021,tropical fruit,156,424,Fressco
73,219,24/04/2021,frankfurter,56,102,Springer
73,219,24/04/2021,berries,9,252,Rivendell
74,1914,24/04/2021,rolls/buns,122,316,Godrej
74,1914,24/04/2021,root vegetables,123,401,Ocean's Secret
74,1914,24/04/2021,yogurt,165,496,Amul
74,1914,24/04/2021,other vegetables,102,331,Fressco
74,1914,24/04/2021,berries,9,252,Rivendell
75,446,16/06/2021,berries,9,252,Rivendell
75,446,16/06/2021,other vegetables,102,331,Fressco
75,446,16/06/2021,rolls/buns,122,316,Godrej
75,446,16/06/2021,ham,67,412,Costa's
75,446,16/06/2021,whole milk,164,176,Mother Dairy
76,1677,16/06/2021,tropical fruit,156,424,Fressco
76,1677,16/06/2021,bottled water,12,62,Bisleri
76,1677,16/06/2021,butter milk,16,464,Amul
76,1677,16/06/2021,newspapers,95,84,Origami
76,1677,16/06/2021,coffee,34,476,Nescafe
77,772,8/9/2021,bottled beer,11,273,Budweiser
77,772,8/9/2021,onions,99,226,Fressco
77,772,8/9/2021,hamburger meat,68,461,Springer
77,772,8/9/2021,sausage,130,201,True elements
77,772,8/9/2021,hard cheese,69,460,Mother Dairy
78,659,8/9/2021,sausage,130,201,True elements
78,659,8/9/2021,hamburger meat,68,461,Springer
78,659,8/9/2021,onions,99,226,Fressco
78,659,8/9/2021,coffee,34,476,Nescafe
78,659,8/9/2021,shopping bags,133,467,Lankmark
79,615,26/08/2021,yogurt,165,496,Amul
79,615,26/08/2021,soda,138,165,TATA
79,615,26/08/2021,sliced cheese,135,185,TATA
79,615,26/08/2021,sausage,130,201,True elements
79,615,26/08/2021,yogurt,165,496,Amul
80,218,26/08/2021,domestic eggs,49,437,Henfruit
80,218,26/08/2021,whole milk,164,176,Mother Dairy
80,218,26/08/2021,meat,90,190,Costa's
80,218,26/08/2021,dish cleaner,46,283,Vim
80,218,26/08/2021,other vegetables,102,331,Fressco
81,1753,7/5/2021,whole milk,164,176,Mother Dairy
81,1753,7/5/2021,other vegetables,102,331,Fressco
81,1753,7/5/2021,tropical fruit,156,424,Fressco
81,1753,7/5/2021,baking powder,6,265,MDH
81,1753,7/5/2021,specialty bar,143,85,True elements
82,1163,7/5/2021,ice cream,74,323,Mother Dairy
82,1163,7/5/2021,frankfurter,56,102,Springer
82,1163,7/5/2021,canned beer,20,280,Budweiser
82,1163,7/5/2021,bottled water,12,62,Bisleri
82,1163,7/5/2021,other vegetables,102,331,Fressco
83,1557,19/04/2021,citrus fruit,30,471,Rivendell
83,1557,19/04/2021,sausage,130,201,True elements
83,1557,19/04/2021,domestic eggs,49,437,Henfruit
83,1557,19/04/2021,pork,111,74,Springer
83,1557,19/04/2021,specialty cheese,144,424,English Oven
84,1969,19/04/2021,pork,111,74,Springer
84,1969,19/04/2021,beef,8,182,Costa's
84,1969,19/04/2021,other vegetables,102,331,Fressco
84,1969,19/04/2021,chicken,27,312,Costa's
84,1969,19/04/2021,soda,138,165,TATA
85,1911,16/09/2021,whole milk,164,176,Mother Dairy
85,1911,16/09/2021,rolls/buns,122,316,Godrej
85,1911,16/09/2021,bottled beer,11,273,Budweiser
85,1911,16/09/2021,root vegetables,123,401,Ocean's Secret
85,1911,16/09/2021,pastry,105,184,MTR
86,1801,16/09/2021,berries,9,252,Rivendell
86,1801,16/09/2021,citrus fruit,30,471,Rivendell
86,1801,16/09/2021,whole milk,164,176,Mother Dairy
86,1801,16/09/2021,soda,138,165,TATA
86,1801,16/09/2021,bottled water,12,62,Bisleri
87,305,6/8/2021,tropical fruit,156,424,Fressco
87,305,6/8/2021,salty snack,128,74,Sunfeast
87,305,6/8/2021,bottled water,12,62,Bisleri
87,305,6/8/2021,chocolate,28,435,Cadbury
87,305,6/8/2021,citrus fruit,30,471,Rivendell
88,485,6/8/2021,bottled water,12,62,Bisleri
88,485,6/8/2021,onions,99,226,Fressco
88,485,6/8/2021,dessert,44,266,Nestle
88,485,6/8/2021,beef,8,182,Costa's
88,485,6/8/2021,rolls/buns,122,316,Godrej
89,1831,3/9/2021,beef,8,182,Costa's
89,1831,3/9/2021,soda,138,165,TATA
89,1831,3/9/2021,coffee,34,476,Nescafe
89,1831,3/9/2021,rolls/buns,122,316,Godrej
89,1831,3/9/2021,pork,111,74,Springer
90,1249,3/9/2021,soda,138,165,TATA
90,1249,3/9/2021,sausage,130,201,True elements
90,1249,3/9/2021,beef,8,182,Costa's
90,1249,3/9/2021,whole milk,164,176,Mother Dairy
90,1249,3/9/2021,pork,111,74,Springer
91,1807,4/9/2021,berries,9,252,Rivendell
91,1807,4/9/2021,sausage,130,201,True elements
91,1807,4/9/2021,bottled water,12,62,Bisleri
91,1807,4/9/2021,tropical fruit,156,424,Fressco
91,1807,4/9/2021,herbs,70,378,Fressco
92,600,4/9/2021,yogurt,165,496,Amul
92,600,4/9/2021,Instant food products,0,190,Nestle
92,600,4/9/2021,specialty chocolate,145,414,Cadbury
92,600,4/9/2021,coffee,34,476,Nescafe
92,600,4/9/2021,bottled beer,11,273,Budweiser
93,1854,12/4/2021,beef,8,182,Costa's
93,1854,12/4/2021,whole milk,164,176,Mother Dairy
93,1854,12/4/2021,frankfurter,56,102,Springer
93,1854,12/4/2021,frankfurter,56,102,Springer
93,1854,12/4/2021,other vegetables,102,331,Fressco
94,633,12/4/2021,frankfurter,56,102,Springer
94,633,12/4/2021,whole milk,164,176,Mother Dairy
94,633,12/4/2021,frankfurter,56,102,Springer
94,633,12/4/2021,other vegetables,102,331,Fressco
94,633,12/4/2021,bottled water,12,62,Bisleri
95,981,20/08/2021,pork,111,74,Springer
95,981,20/08/2021,bottled water,12,62,Bisleri
95,981,20/08/2021,other vegetables,102,331,Fressco
95,981,20/08/2021,hamburger meat,68,461,Springer
95,981,20/08/2021,hamburger meat,68,461,Springer
96,1019,20/08/2021,shopping bags,133,467,Lankmark
96,1019,20/08/2021,whole milk,164,176,Mother Dairy
96,1019,20/08/2021,ice cream,74,323,Mother Dairy
96,1019,20/08/2021,pastry,105,184,MTR
96,1019,20/08/2021,ham,67,412,Costa's
97,1755,10/5/2021,frankfurter,56,102,Springer
97,1755,10/5/2021,sausage,130,201,True elements
97,1755,10/5/2021,bottled beer,11,273,Budweiser
97,1755,10/5/2021,bottled water,12,62,Bisleri
97,1755,10/5/2021,meat,90,190,Costa's
98,1209,10/5/2021,dessert,44,266,Nestle
98,1209,10/5/2021,other vegetables,102,331,Fressco
98,1209,10/5/2021,beverages,10,305,Minute Maid
98,1209,10/5/2021,ham,67,412,Costa's
98,1209,10/5/2021,specialty bar,143,85,True elements
99,1752,4/8/2021,brown bread,14,423,English Oven
99,1752,4/8/2021,whole milk,164,176,Mother Dairy
99,1752,4/8/2021,rolls/buns,122,316,Godrej
99,1752,4/8/2021,bottled beer,11,273,Budweiser
99,1752,4/8/2021,pet care,106,103,Whiskas
100,128,4/8/2021,citrus fruit,30,471,Rivendell
100,128,4/8/2021,pork,111,74,Springer
100,128,4/8/2021,other vegetables,102,331,Fressco
100,128,4/8/2021,white wine,163,385,Blender Spride
100,128,4/8/2021,whole milk,164,176,Mother Dairy
101,1165,22/07/2021,pip fruit,109,167,Fressco
101,1165,22/07/2021,sugar,150,100,TATA
101,1165,22/07/2021,tropical fruit,156,424,Fressco
101,1165,22/07/2021,root vegetables,123,401,Ocean's Secret
101,1165,22/07/2021,soda,138,165,TATA
102,1844,22/07/2021,whole milk,164,176,Mother Dairy
102,1844,22/07/2021,tropical fruit,156,424,Fressco
102,1844,22/07/2021,white bread,162,176,English Oven
102,1844,22/07/2021,brown bread,14,423,English Oven
102,1844,22/07/2021,tropical fruit,156,424,Fressco
103,1062,9/5/2021,domestic eggs,49,437,Henfruit
103,1062,9/5/2021,coffee,34,476,Nescafe
103,1062,9/5/2021,soda,138,165,TATA
103,1062,9/5/2021,whole milk,164,176,Mother Dairy
103,1062,9/5/2021,bottled beer,11,273,Budweiser
104,2001,9/5/2021,pork,111,74,Springer
104,2001,9/5/2021,other vegetables,102,331,Fressco
104,2001,9/5/2021,yogurt,165,496,Amul
104,2001,9/5/2021,sparkling wine,142,250,Budweiser
104,2001,9/5/2021,bottled water,12,62,Bisleri
105,81,20/06/2021,citrus fruit,30,471,Rivendell
105,81,20/06/2021,hamburger meat,68,461,Springer
105,81,20/06/2021,packaged fruit/vegetables,103,268,Fressco
105,81,20/06/2021,other vegetables,102,331,Fressco
105,81,20/06/2021,soda,138,165,TATA
106,1155,20/06/2021,whole milk,164,176,Mother Dairy
106,1155,20/06/2021,herbs,70,378,Fressco
106,1155,20/06/2021,citrus fruit,30,471,Rivendell
106,1155,20/06/2021,misc. beverages,92,493,Minute Maid
106,1155,20/06/2021,female sanitary products,50,148,Whisper
107,1549,1/5/2021,soda,138,165,TATA
107,1549,1/5/2021,tropical fruit,156,424,Fressco
107,1549,1/5/2021,soda,138,165,TATA
107,1549,1/5/2021,white bread,162,176,English Oven
107,1549,1/5/2021,coffee,34,476,Nescafe
