uid,search,date
1936,seasonal,04/09/2021
1936,packaged,04/09/2021
1935,light,15/09/2021
1935,seasonal,15/09/2021
1935,pickled,10/09/2021
1935,hamburger,08/09/2021
1935,buns,08/09/2021
1935,coffee,07/09/2021
1935,make,07/09/2021
1934,cooking,16/09/2021
1934,dishes,10/09/2021
1934,honey,10/09/2021
1934,whisky,08/09/2021
1934,utensil,08/09/2021
1933,organic,20/09/2021
1933,juice,18/09/2021
1933,ham,14/09/2021
1933,fruit,13/09/2021
1933,ham,11/09/2021
1933,dish,08/09/2021
1932,processed,17/09/2021
1932,bar,16/09/2021
1932,wine,15/09/2021
1932,fruit/vegetable,15/09/2021
1932,onions,11/09/2021
1932,salad,08/09/2021
1931,meat,13/09/2021
1931,pot,11/09/2021
1931,condensed,05/09/2021
1931,tea,04/09/2021
1931,,03/09/2021
1931,pastry,01/09/2021
1931,dishes,01/09/2021
1930,plants,16/09/2021
1930,soups,14/09/2021
1930,soil/fertilizer,07/09/2021
1930,grapes,07/09/2021
1930,berries,04/09/2021
1929,sweetener,17/09/2021
1929,hair,10/09/2021
1929,pudding,09/09/2021
1929,fertilizer,09/09/2021
1929,(seeds),07/09/2021
1929,cooking,06/09/2021
1929,misc.,05/09/2021
1928,photo/film,19/09/2021
1928,soups,10/09/2021
1928,sliced,09/09/2021
1928,bottled,08/09/2021
1928,nuts,01/09/2021
1927,sanitary,20/09/2021
1927,pastry,20/09/2021
1927,bulbs,16/09/2021
1927,loaf,16/09/2021
1927,eggs,10/09/2021
1926,preservation,15/09/2021
1926,vegetable juice,14/09/2021
1926,remover,10/09/2021
1926,soil/fertilizer,08/09/2021
1926,jam,04/09/2021
1925,wine,18/09/2021
1925,liqueur,18/09/2021
1925,pip,07/09/2021
1925,yogurt,03/09/2021
1925,organic,02/09/2021
1925,pip,01/09/2021
1924,roll,18/09/2021
1924,brandy,16/09/2021
1924,loaf,15/09/2021
1924,grapes,14/09/2021
1924,soda,14/09/2021
1924,soap,12/09/2021
1924,alcohol,10/09/2021
1923,film/bags,14/09/2021
1923,root,10/09/2021
1923,flour,07/09/2021
1923,up,07/09/2021
1923,fruit/vegetable,03/09/2021
1922,spread,18/09/2021
1922,(seeds),18/09/2021
1922,vegetable juice,17/09/2021
1922,soil/fertilizer,14/09/2021
1922,newspapers,08/09/2021
1922,spray,01/09/2021
1922,utensil,01/09/2021
1921,cake,19/09/2021
1921,root,18/09/2021
1921,artif.,16/09/2021
1921,male,12/09/2021
1921,brown,02/09/2021
1920,powder,17/09/2021
1920,jam,12/09/2021
1920,drinks,08/09/2021
1920,yogurt,05/09/2021
1920,dog,02/09/2021
1919,rolls,20/09/2021
1919,cling film,17/09/2021
1919,frozen,15/09/2021
1919,life,13/09/2021
1919,kitchen,10/09/2021
1919,bathroom,08/09/2021
1919,frozen,03/09/2021
1918,cooking,19/09/2021
1918,oil,16/09/2021
1918,female,16/09/2021
1918,fruit,07/09/2021
1918,photo,04/09/2021
1918,rum,01/09/2021
1917,juice,19/09/2021
1917,fruits,14/09/2021
1917,chocolate,13/09/2021
1917,brandy,11/09/2021
1917,softener,11/09/2021
1917,preservation,07/09/2021
1917,wine,02/09/2021
1916,blush wine,16/09/2021
1916,grapes,11/09/2021
1916,pudding,10/09/2021
1916,tropical,09/09/2021
1916,honey,04/09/2021
1916,baking,04/09/2021
1916,finished,01/09/2021
1915,sugar,16/09/2021
1915,liquor,16/09/2021
1915,(seeds),16/09/2021
1915,misc.,16/09/2021
1915,curd,13/09/2021
1915,bar,13/09/2021
1915,marshmallow,10/09/2021
1914,fertilizer,18/09/2021
1914,domestic,13/09/2021
1914,bathroom,09/09/2021
1914,sanitary,07/09/2021
1914,oil,07/09/2021
1914,preservation,04/09/2021
1913,articles,19/09/2021
1913,decalcifier,12/09/2021
1913,bathroom,12/09/2021
1913,hair,07/09/2021
1913,towels,06/09/2021
1912,mayonnaise,17/09/2021
1912,plants,14/09/2021
1912,bar,11/09/2021
1912,plants,07/09/2021
1912,photo/film,06/09/2021
1911,meals,20/09/2021
1911,citrus,14/09/2021
1911,turkey,06/09/2021
1911,(seeds),05/09/2021
1911,up,05/09/2021
1911,white,02/09/2021
1910,soft,18/09/2021
1910,photo/film,13/09/2021
1910,preservation,07/09/2021
1910,water,07/09/2021
1910,soap,06/09/2021
1910,bathroom,05/09/2021
1909,toilet,20/09/2021
1909,liqueur,15/09/2021
1909,cocoa,11/09/2021
1909,oil,08/09/2021
1909,food,03/09/2021
1909,dishes,02/09/2021
1909,beef,01/09/2021
1908,canned,18/09/2021
1908,decalcifier,18/09/2021
1908,ketchup,08/09/2021
1908,whisky,06/09/2021
1908,spreads,01/09/2021
1907,cream,20/09/2021
1907,bottled,18/09/2021
1907,citrus,17/09/2021
1907,photo/film,15/09/2021
1907,processed,12/09/2021
1907,napkins,09/09/2021
1907,male,05/09/2021
1906,fruit/vegetable,14/09/2021
1906,salty,14/09/2021
1906,liver,14/09/2021
1906,hygiene,14/09/2021
1906,house,11/09/2021
1906,bread,10/09/2021
1905,sliced,20/09/2021
1905,toilet,19/09/2021
1905,gum,15/09/2021
1905,snack,06/09/2021
1905,up,04/09/2021
1905,cake,04/09/2021
1905,gum,02/09/2021
1904,water,18/09/2021
1904,pickled,16/09/2021
1904,processed,14/09/2021
1904,sliced,09/09/2021
1904,semi-finished,06/09/2021
1904,candles,04/09/2021
1904,bottled,02/09/2021
1903,canned,11/09/2021
1903,napkins,07/09/2021
1903,berries,06/09/2021
1903,alcohol,04/09/2021
1903,bakery,02/09/2021
1902,tea,14/09/2021
1902,nut,14/09/2021
1902,whisky,08/09/2021
1902,liqueur,03/09/2021
1902,cosmetics,02/09/2021
1902,honey,01/09/2021
1901,packaged fruit,19/09/2021
1901,fruit/vegetable,14/09/2021
1901,loaf,12/09/2021
1901,,10/09/2021
1901,turkey,04/09/2021
1901,cocoa,01/09/2021
1900,cling film,18/09/2021
1900,towels,16/09/2021
1900,wine,13/09/2021
1900,loaf,13/09/2021
1900,liver,10/09/2021
1900,frozen,08/09/2021
1900,bread,06/09/2021
1899,hard,20/09/2021
1899,processed,20/09/2021
1899,syrup,15/09/2021
1899,remover,12/09/2021
1899,remover,08/09/2021
1899,shopping,04/09/2021
1899,toilet,02/09/2021
1898,photo/film,20/09/2021
1898,bags,19/09/2021
1898,male,12/09/2021
1898,coffee,11/09/2021
1898,bags,02/09/2021
1898,coffee,01/09/2021
1897,soft,17/09/2021
1897,sweetener,16/09/2021
1897,baking,06/09/2021
1897,ketchup,03/09/2021
1897,napkins,02/09/2021
1896,abrasive,17/09/2021
1896,skin,13/09/2021
1896,vinegar,11/09/2021
1896,yogurt,11/09/2021
1896,newspapers,10/09/2021
1896,jam,05/09/2021
1896,sweetener,02/09/2021
1895,salad,16/09/2021
1895,pet,13/09/2021
1895,fruit/vegetables,13/09/2021
1895,whipped,10/09/2021
1895,sparkling,09/09/2021
1894,processed,18/09/2021
1894,softener,16/09/2021
1894,beer,16/09/2021
1894,soups,14/09/2021
1894,specialty,10/09/2021
1894,cooking,09/09/2021
1894,(seeds),03/09/2021
1893,sanitary,11/09/2021
1893,care,09/09/2021
1893,ready,07/09/2021
1893,soil/fertilizer,02/09/2021
1893,other,01/09/2021
1892,vegetables,19/09/2021
1892,turkey,19/09/2021
1892,cream,18/09/2021
1892,film/bags,17/09/2021
1892,juice,11/09/2021
1892,sugar,06/09/2021
1891,soda,17/09/2021
1891,fruit/vegetable,11/09/2021
1891,brown,09/09/2021
1891,alcohol,09/09/2021
1891,hard,02/09/2021
1890,house,20/09/2021
1890,cling,17/09/2021
1890,cosmetics,12/09/2021
1890,flower,05/09/2021
1890,margarine,01/09/2021
1889,pudding,11/09/2021
1889,sugar,10/09/2021
1889,dental,06/09/2021
1889,cosmetics,06/09/2021
1889,loaf,04/09/2021
1889,whole,01/09/2021
1889,frozen,01/09/2021
1888,domestic,17/09/2021
1888,semi-finished,15/09/2021
1888,herbs,09/09/2021
1888,organic,08/09/2021
1888,flower,01/09/2021
1888,snack,01/09/2021
1887,misc.,13/09/2021
1887,citrus,11/09/2021
1887,brown,10/09/2021
1887,cookware,02/09/2021
1887,pot,01/09/2021
1886,preservation,17/09/2021
1886,tea,08/09/2021
1886,specialty,03/09/2021
1886,detergent,02/09/2021
1886,fat,01/09/2021
1885,liquor,17/09/2021
1885,abrasive,12/09/2021
1885,chocolate,02/09/2021
1885,candy,02/09/2021
1885,female,02/09/2021
1885,cat,01/09/2021
1883,margarine,16/09/2021
1883,frozen,16/09/2021
1883,drinks,12/09/2021
1883,candles,11/09/2021
1883,preservation,03/09/2021
1883,seasonal,02/09/2021
1882,gum,19/09/2021
1882,baking,15/09/2021
1882,nuts,14/09/2021
1882,napkins,13/09/2021
1882,rolls,07/09/2021
1882,alcohol,06/09/2021
1882,photo/film,02/09/2021
1881,mustard,14/09/2021
1881,sausage,09/09/2021
1881,packaged fruit,06/09/2021
1881,pickled,04/09/2021
1881,make,01/09/2021
1880,long,18/09/2021
1880,ice,09/09/2021
1880,ketchup,09/09/2021
1880,female,05/09/2021
1880,snack,04/09/2021
1880,zwieback,04/09/2021
1880,ready,02/09/2021
1879,sour cream,17/09/2021
1879,brown,13/09/2021
1879,butter,07/09/2021
1879,bakery,06/09/2021
1879,whisky,04/09/2021
1879,onions,02/09/2021
1879,artif.,01/09/2021
1878,,19/09/2021
1878,finished,15/09/2021
1878,potato,11/09/2021
1878,bottled,09/09/2021
1878,berries,08/09/2021
1878,cheese,06/09/2021
1878,white,05/09/2021
1877,packaged fruit,20/09/2021
1877,soap,18/09/2021
1877,whisky,17/09/2021
1877,spices,16/09/2021
1877,remover,09/09/2021
1877,abrasive,09/09/2021
1876,prunes,20/09/2021
1876,cocoa,19/09/2021
1876,zwieback,17/09/2021
1876,hair,14/09/2021
1876,milk,09/09/2021
1875,mustard,19/09/2021
1875,food,15/09/2021
1875,food,09/09/2021
1875,up,05/09/2021
1875,photo,04/09/2021
1875,pork,03/09/2021
1875,salt,01/09/2021
1874,hair,15/09/2021
1874,flower,13/09/2021
1874,salty,09/09/2021
1874,seasonal,07/09/2021
1874,abrasive,06/09/2021
1874,nuts,05/09/2021
1874,softener,04/09/2021
1873,liquor,20/09/2021
1873,food,19/09/2021
1873,yogurt,18/09/2021
1873,spreads,14/09/2021
1873,product,03/09/2021
1873,cling film,03/09/2021
1872,meat,20/09/2021
1872,whipped/sour,19/09/2021
1872,whole,18/09/2021
1872,brandy,16/09/2021
1872,other,03/09/2021
1872,fruit,03/09/2021
1871,flower,20/09/2021
1871,product,16/09/2021
1871,water,14/09/2021
1871,butter,12/09/2021
1871,sweet,11/09/2021
1871,hair,01/09/2021
1870,syrup,20/09/2021
1870,decalcifier,13/09/2021
1870,life,09/09/2021
1870,herbs,05/09/2021
1870,kitchen,01/09/2021
1869,abrasive,19/09/2021
1869,photo,14/09/2021
1869,herbs,09/09/2021
1869,blush wine,08/09/2021
1869,salty,03/09/2021
1869,water,01/09/2021
1868,pet,20/09/2021
1868,towels,16/09/2021
1868,soda,14/09/2021
1868,bulbs,12/09/2021
1868,film/bags,11/09/2021
1868,light,05/09/2021
1868,honey,02/09/2021
1867,newspapers,20/09/2021
1867,prunes,15/09/2021
1867,female,13/09/2021
1867,herbs,12/09/2021
1867,UHT-milk,03/09/2021
1866,ham,17/09/2021
1866,bottled,13/09/2021
1866,pip,09/09/2021
1866,coffee,08/09/2021
1866,alcohol,06/09/2021
1866,candles,04/09/2021
1866,potato,04/09/2021
1865,hygiene,17/09/2021
1865,flower,12/09/2021
1865,bags,11/09/2021
1865,house,10/09/2021
1865,hair,05/09/2021
1865,blush wine,03/09/2021
1864,tidbits,20/09/2021
1864,potato,19/09/2021
1864,chicken,09/09/2021
1864,bottled,06/09/2021
1864,prunes,03/09/2021
1863,water,14/09/2021
1863,sour cream,13/09/2021
1863,candy,10/09/2021
1863,napkins,08/09/2021
1863,soups,02/09/2021
1862,baby,19/09/2021
1862,jam,14/09/2021
1862,nuts/prunes,08/09/2021
1862,fruit,04/09/2021
1862,root,02/09/2021
1861,fruits,18/09/2021
1861,cleaner,12/09/2021
1861,beef,11/09/2021
1861,water,04/09/2021
1861,baby,03/09/2021
1860,whipped/sour,20/09/2021
1860,vegetables,20/09/2021
1860,toilet,13/09/2021
1860,white,11/09/2021
1860,products,10/09/2021
1860,finished,02/09/2021
1859,zwieback,19/09/2021
1859,powder,18/09/2021
1859,berries,09/09/2021
1859,bulbs,09/09/2021
1859,chewing,07/09/2021
1858,care,20/09/2021
1858,fruits,19/09/2021
1858,beverages,17/09/2021
1858,whole,15/09/2021
1858,salty,13/09/2021
1858,candy,10/09/2021
1858,specialty,07/09/2021
1857,misc.,19/09/2021
1857,decalcifier,16/09/2021
1857,cosmetics,12/09/2021
1857,beef,12/09/2021
1857,drinks,09/09/2021
1857,whole,08/09/2021
1857,dog,02/09/2021
1856,instant,19/09/2021
1856,beer,16/09/2021
1856,oil,15/09/2021
1856,berries,11/09/2021
1856,shopping,04/09/2021
1856,liqueur,02/09/2021
1856,eggs,02/09/2021
1855,packaged,18/09/2021
1855,preservation,14/09/2021
1855,pastry,13/09/2021
1855,ketchup,11/09/2021
1855,bathroom,02/09/2021
1854,root,20/09/2021
1854,blush wine,20/09/2021
1854,water,04/09/2021
1854,dressing,04/09/2021
1854,whipped/sour,03/09/2021
1854,tropical,02/09/2021
1853,tea,19/09/2021
1853,packaged fruit,18/09/2021
1853,packaged,17/09/2021
1853,sausage,16/09/2021
1853,cereals,10/09/2021
1853,frozen,10/09/2021
1853,spreads,05/09/2021
1852,nuts/prunes,18/09/2021
1852,dish,17/09/2021
1852,packaged,15/09/2021
1852,napkins,09/09/2021
1852,pastry,08/09/2021
1851,beef,20/09/2021
1851,prosecco,16/09/2021
1851,canned,13/09/2021
1851,frankfurter,13/09/2021
1851,towels,11/09/2021
1851,meat,08/09/2021
1850,towels,20/09/2021
1850,flour,16/09/2021
1850,potato,13/09/2021
1850,articles,13/09/2021
1850,bakery,11/09/2021
1850,blush wine,06/09/2021
1849,cat,20/09/2021
1849,popcorn,20/09/2021
1849,cake,13/09/2021
1849,canned,11/09/2021
1849,kitchen,09/09/2021
1849,sauces,04/09/2021
1849,life,02/09/2021
1848,packaged fruit,17/09/2021
1848,fruit/vegetables,17/09/2021
1848,bottled,15/09/2021
1848,fruit,11/09/2021
1848,cosmetics,01/09/2021
1847,meals,19/09/2021
1847,bakery,11/09/2021
1847,pudding,04/09/2021
1847,vinegar,03/09/2021
1847,napkins,03/09/2021
1847,detergent,02/09/2021
1847,soft,02/09/2021
1846,dish,14/09/2021
1846,toilet,11/09/2021
1846,nuts,10/09/2021
1846,spread,10/09/2021
1846,alcohol,08/09/2021
1846,skin,06/09/2021
1846,articles,05/09/2021
1845,film,18/09/2021
1845,berries,18/09/2021
1845,bar,12/09/2021
1845,fruits,12/09/2021
1845,film/bags,09/09/2021
1844,rice,17/09/2021
1844,baking,11/09/2021
1844,fruit/vegetable,08/09/2021
1844,soda,04/09/2021
1844,honey,01/09/2021
1843,chocolate,20/09/2021
1843,product,10/09/2021
1843,life,08/09/2021
1843,roll,06/09/2021
1843,berries,05/09/2021
1843,whisky,04/09/2021
1843,UHT-milk,02/09/2021
1842,soft,20/09/2021
1842,long,17/09/2021
1842,female,13/09/2021
1842,ready,10/09/2021
1842,chicken,07/09/2021
1841,milk,20/09/2021
1841,softener,18/09/2021
1841,toilet,12/09/2021
1841,pudding,06/09/2021
1841,care,05/09/2021
1841,keeping,04/09/2021
1841,berries,02/09/2021
1840,bathroom,17/09/2021
1840,up,09/09/2021
1840,products,04/09/2021
1840,liquor,04/09/2021
1840,misc.,03/09/2021
1839,fertilizer,19/09/2021
1839,plants,16/09/2021
1839,bread,11/09/2021
1839,water,11/09/2021
1839,beverages,08/09/2021
1839,dental,01/09/2021
1838,instant,17/09/2021
1838,oil,08/09/2021
1838,bulbs,07/09/2021
1838,curd,03/09/2021
1838,organic,03/09/2021
1837,products,18/09/2021
1837,candles,16/09/2021
1837,packaged fruit,14/09/2021
1837,roll,12/09/2021
1837,pip,09/09/2021
1836,bathroom,16/09/2021
1836,whipped,15/09/2021
1836,sanitary,13/09/2021
1836,care,10/09/2021
1836,whipped/sour,06/09/2021
1836,salad,05/09/2021
1836,rice,03/09/2021
1835,fish,15/09/2021
1835,care,11/09/2021
1835,candles,11/09/2021
1835,organic,10/09/2021
1835,baby,09/09/2021
1835,film/bags,06/09/2021
1835,photo,02/09/2021
1834,soil/fertilizer,20/09/2021
1834,cling film,20/09/2021
1834,white,19/09/2021
1834,whisky,16/09/2021
1834,bottled,14/09/2021
1833,flower soil,17/09/2021
1833,meals,11/09/2021
1833,napkins,10/09/2021
1833,bathroom,10/09/2021
1833,frozen,05/09/2021
1833,detergent,05/09/2021
1833,towels,02/09/2021
1832,buns,19/09/2021
1832,whisky,16/09/2021
1832,cling film,14/09/2021
1832,syrup,08/09/2021
1832,soap,01/09/2021
1831,ice,19/09/2021
1831,sparkling,18/09/2021
1831,zwieback,09/09/2021
1831,food,05/09/2021
1831,spray,02/09/2021
1829,marshmallow,11/09/2021
1829,flour,10/09/2021
1829,candles,05/09/2021
1829,make,04/09/2021
1829,liver,02/09/2021
1828,seasonal,16/09/2021
1828,grapes,07/09/2021
