uid,productID
48,6 49 85 109 15 1 53 122 164 138 88 14 82 145 111 16 165 21 73 162 125 160 12 133 47 64
49,50 129 160 111 109 61 150 44 165 12 21 164 98 128 139 138
50,135 75 44 30 40 110 0 88 164 92 162 69 138 144 143
51,40 59 13 164 99 14 123 70 67 111 105 16 102 34 113 144 44 33 133 64
52,160 40 34 130 122 107 88 56
53,94 19 74 163 123 105 16 0 88 164 133 122 138 64
54,27 49 74 70 160 109 30 20 105 58 102 130 164 122 156
55,163 109 142 53 122 11 121 164 138 70 105 165 16 34 102 130 162 52 45 61 99
56,135 14 67 129 8 111 108 64 56 165 21 130 95 122 128 156 159 99
57,49 106 85 8 20 122 46 56 68 164 99 14 123 111 30 34 102 130 95 43 61 139 157 22 64
58,123 8 1 102 35
59,70 12 51 48 102 99 103 56
60,94 131 8 115 160 132 105 80 65 164 133 73 156 138
61,27 123 30 40 15 1 102 130 164 17 99 159 88 56 82
62,39 10 6 111 40 30 16 165 58 12 34 98 122 156 119 14 143
63,74 8 109 75 40 15 20 165 1 102 3 162 156
64,49 163 8 150 110 15 122 57 156 56 68 164 17 103 83 138 14 143 111 9 105 102 21 130 159 160 154 133 64
65,150 15 165 102 164 17 158 138
66,123 68 70 109 44 16 165 151 102 35 133 162 83 99 92
67,123 68 9 15 105 102 28 156 56
68,27 94 85 23 30 26 15 105 16 154 102 164 103 159 138 64
69,8 109 1 122 107 156 0 63 164 27 123 67 111 70 30 105 165 102 84 130 19 160 61 44 12 133 47
70,135 19 10 94 123 8 109 44 30 20 12 102 58 164 122 47 156 138
71,19 159 160 111 30 15 105 165 102 164 119 122 89 156 138 64
72,49 90 15 48 11 56 63 164 98 138 67 101 111 9 123 130 95 128 159 160 45
73,27 94 49 111 9 75 40 20 165 102 130 164 98 128 47 156 56
74,8 40 1 121 164 98 88 138 14 74 123 105 21 95 47 19 160 44 12 139
75,111 115 40 30 20 165 102 63 88 164 95 122 83 64 145
76,49 109 40 20 122 69 107 68 63 164 138 14 123 30 105 165 102 95 39 76 12
77,19 123 105 104 164 53 47 127
78,10 85 160 32 15 132 48 164 95 122 11 28 128 148 133 138 64
79,141 90 8 109 20 48 11 156 56 68 164 138 143 27 67 111 30 34 130 95 12
80,49 85 1 122 11 68 138 88 14 27 16 130 95 28 128 159 93 104 133
81,94 48 57 134 10 68 31 103 138 27 123 111 9 30 102 21 130 162 47 64 140
82,15 20 81 122 69 56 25 164 149 27 74 30 51 102 130 113 159 44 119
83,94 10 90 131 111 156 12 63 164 11 157 14
84,39 49 10 123 8 108 15 16 165 12 102 46 133 11 122 138 99
85,74 123 150 30 40 16 165 12 102 51 164 133 162 122 156 88 99 143
86,27 49 123 160 109 23 11 88
87,94 75 133 143
88,85 142 11 122 46 131 18 63 98 83 138 145 74 123 30 105 165 102 72 159 44 104 35
89,49 111 109 8 20 34 164 95 122 11 139 156 138
90,19 6 123 8 9 30 105 18 12 102 46 35 159 143
91,49 40 20 1 53 122 11 13 56 164 17 148 67 111 30 165 102 130 75
92,109 1 122 11 10 62 164 88 138 14 105 102 34 73 29 95 28 162 160 44 12
93,39 123 131 61 77 40 105 102 97 164 122 156 14 143
94,49 106 14 70 8 64 12 65 102 130 164 84 11 122 138 56
95,94 49 15 20 121 56 0 138 82 27 67 165 21 34 130 102 162 128 24 39 19 58 35 119
96,27 94 111 8 165 31 102 80 130 164 103 156
97,112 85 163 40 20 1 53 11 122 69 156 164 88 138 83 143 67 123 111 30 105 102 34 130 95 89 24 128 159 160 64 132 58 99
99,135 90 30 40 105 130 164 133 122 47 156 82
100,135 160 109 150 64 62 165 12 102 164 133 156 127
101,39 6 85 128 150 165 58 102 12 164 28 162 72 103 138
102,94 163 40 15 80 122 156 77 26 164 145 123 111 30 16 102 130 89 24 45 12 151 133 119
103,94 49 109 40 122 11 7 46 56 164 98 88 92 74 105 34 102 130 28 95 64 58 133 157 99
104,102 138 160 115
105,39 160 45 44 40 64 165 12 63 65 164 95 138 14
106,39 160 115 30 15 12 63 102 34 164 98 95 156 138 64 107
107,141 8 15 10 164 138 14 92 111 30 165 102 135 19 160 58 12 133 47
108,39 74 77 12 133 122 138 64
109,32 40 105 103 159
110,94 110 20 1 156 26 18 164 138 88 83 123 111 9 30 165 65 102 130 95 162 128 160 44 157 119
111,131 45 26 28 133
112,94 19 70 160 93 76 105 165 102 41 164 133 122 95 149 159 14
113,94 40 59 11 46 164 103 88 143 123 165 102 34 95 162 160 44 45 64 99
114,10 68 30 1 102 63 130 164 133 122 98 91 28 125 88 14
115,94 39 85 68 111 109 160 44 105 165 102 164 133 11 162 128 103 138
116,8 40 166 122 156 164 138 14 74 123 70 108 105 165 102 28 125 132 151 12 119
117,123 44 30 105 12 151 65 63 130 164 98 122 102 153 133 138
118,123 160 8 9 20 164 133 122 28 138 14 140
119,74 160 111 20 105 58 95 103
120,49 8 109 122 156 10 68 164 103 83 138 123 9 30 102 34 95 73 28 39 19 61 157 64
121,150 40 165 69 164 139 156 145
122,112 74 123 160 109 1 102 164 143 162 59 92
123,85 150 40 11 122 91 138 14 92 70 105 130 28 162 24 135 12 104 133 139 64
124,40 15 20 122 121 69 87 63 164 138 88 145 74 34 102 84 95 29 89 135 44 61 12
126,85 160 32 44 165 102 164 122 13 128 88 145
127,134 9 61 30 108 105 102 34 164 133 162 122 69 138 14
128,112 49 163 20 166 153 48 11 156 56 131 63 164 103 88 82 111 30 165 102 130 28 95 159 19 151 133 64
129,78 61 45 133 122
130,49 37 123 109 61 105 34 102 41 164 95 122 28
131,135 112 141 94 67 123 68 160 30 15 105 102 88 164 133 122 156 138
132,141 4 150 160 30 15 40 102 84 164 128 99
133,27 135 10 14 49 68 160 120 40 165 63 88 164 122 139 46 56
134,27 94 163 70 109 30 62 12 48 164 73 162 149 95 24 138
135,94 67 90 8 115 15 166 165 138 130 122 156 159
136,6 163 109 20 53 11 156 56 164 82 27 123 111 30 102 95 39 12 133 47
137,123 30 105 138 12 102 164 95 122 103 157 83 99
138,112 49 20 122 11 107 26 164 138 88 14 111 108 30 105 16 130 95 128 159 135 58
139,106 74 90 26 105 21 122 107 138 14
140,131 8 20 105 1 133 156 138
141,27 8 15 132 30 102 164 11 162 156 138 22 157
142,106 159 160 20 102 164 98 162 73 122 128 107 138
143,27 10 49 135 75 156 138 14
144,94 6 4 8 32 115 109 20 56 26 63 164 103 88 143 123 111 30 146 165 34 102 130 28 95 24 160 132 58 133 119 64
145,150 40 165 12 133 122 125 88 14
146,8 150 15 1 122 11 69 156 68 63 164 138 14 78 123 34 130 28 24 144 127 39 19 45 132 133
147,70 160 105 34 82
148,67 8 102 130 122 128 47 83 14 140
149,34 164 119 99
151,123 44 15 102 164 139 156 138
152,141 49 6 115 20 122 11 156 56 131 164 138 145 123 111 30 165 102 58 119 99
153,49 85 40 107 88 138 14 145 30 102 65 34 125 50 160 61 12 133 64
154,94 150 15 40 1 3 11 122 156 158 87 77 54 164 138 88 74 108 105 165 102 130 28 162 128 135 19 160 12 151 133 119
155,109 32 15 20 11 122 56 68 31 164 138 143 82 111 165 130 135 96 12 139
156,8 109 40 20 156 164 88 138 27 67 105 165 65 128 137 12 104 133 47
157,94 44 45 34 133 95 122 138 143
159,123 160 42 40 16 12 102 162 128 156 138 144 143
160,39 141 123 160 165 63 98 73
161,112 90 123 131 109 9 30 20 105 102 164 122 72 156 88 14
162,6 90 115 136 40 122 164 88 123 9 30 55 16 165 102 95 162 128 12 133 119
163,20 80 11 156 56 129 164 98 138 82 145 67 30 105 165 130 39 19 160 44 12
164,49 8 109 150 20 122 156 56 26 63 164 138 105 165 65 130 95 113 19 133
165,39 163 74 123 32 40 132 165 138 1 63 31 35 28 122 95 144 14
166,39 115 108 40 20 84 95 122 11 43
167,109 30 1 12 164 122 91 138 14 143
168,10 131 70 160 109 61 30 40 20 62 18 12 102 164 98 122 95 56
169,90 109 122 156 107 10 131 164 138 14 67 123 111 30 105 165 102 130 95 144 159 133 64
170,39 10 165 12 65 58 33 95 11 72 122 156 138 64 143
171,68 160 33 153 164 59 122 138 99
172,49 123 102 159 64
173,112 49 85 40 15 122 69 156 63 164 138 34 73 162 89 24 19 160 12 133
175,49 8 109 122 11 156 56 68 164 138 145 123 70 111 30 34 130 45 132
176,39 131 123 8 109 111 150 102 65 63 164 64
177,14 123 90 20 164 95 162 144 56
178,131 111 160 20 165 31 102 3 130 164 133 28 95 156 138 99 157
179,115 45 55 165 98
180,19 85 111 30 64 105 1 102 48 130 164 133 11 118 162 156 138 99
181,27 74 165 12 164 156 56
182,115 1 122 164 138 143 92 145 74 105 102 65 28 100 144 12 104 133 64
183,111 105 51 130 164 59 156 138 56
184,27 163 74 160 45 12 53 128 156 119
185,85 109 166 153 11 156 164 138 143 145 123 120 16 165 34 95 28 73 44 12 133
186,123 68 30 64 15 20 165 102 164 122 156 56
187,94 10 19 123 40 20 12 102 48 11 138 56 143 145
189,94 49 15 20 1 13 156 164 138 27 123 111 165 102 34 130 21 41 95 45 12 151 157
190,112 49 85 32 109 1 122 11 156 56 10 131 23 164 138 14 92 143 27 123 111 30 105 165 102 51 130 34 24 127 39 19 93 132 133 64 140
191,6 123 32 15 105 12 34 29 11 138
192,44 15 12 95 149
193,163 160 23 44 20 63 133 95 138 64
194,45 26 105 16 63 164 59 149 13 152 156 92 145
195,90 70 8 68 150 165 102 164 122 156
196,109 9 164 138 56
197,123 165 1 102 48 122 138 14 145
198,27 6 49 123 156 44 115 109 165 12 65 164 98 122 72 157 14
199,19 85 9 54 165 12 102 28 139 138 64
200,85 70 44 105 165 12 102 48 73 122 162 92
201,123 8 160 40 165 1 102 63 98 95 157 88 99
202,85 109 122 156 56 10 68 25 138 145 27 74 111 105 165 102 28 24 100 76
203,27 49 135 74 123 68 8 30 12 102 164 98 133 138 14
204,67 90 123 109 160 15 105 165 164 122 11 156 138 64
205,123 109 130 164 122 89 156
206,27 23 93 110 44 120 16 58 102 95 138 56 145
207,49 109 44 12 92
208,94 49 109 20 53 122 11 156 14 67 123 111 9 70 165 65 102 128 159 135 160 61 12 35 22
209,145 123 111 8 64 105 165 12 102 88 151 164 133 73 83 138 99 82
210,27 68 40 12 119
211,112 67 123 131 148 30 132 20 34 102 164 95 69 14
212,94 49 163 110 122 0 31 164 98 149 92 123 165 102 130 95 28 159 160 133
213,10 68 109 40 138 102 164 11 69 144 64 92
214,135 27 94 111 8 160 105 130 164 11 156 138
215,27 123 8 109 56 165 12 51 104 130 63 95 122 24 156 138 127
216,94 49 106 6 115 110 166 11 122 56 164 98 138 27 111 165 130 73 135 19 45 132 12
217,94 85 123 74 23 109 44 165 12 102 133 122 47 107 119
218,49 90 70 12 102 164 53 98 46 145
219,27 10 94 49 125 9 108 115 26 105 1 3 164 133 162 11 156 56
220,123 45 15 105 165 16 133 98 11 47
221,85 109 15 122 107 158 56 63 164 92 27 67 123 30 105 34 151 133 64
222,49 90 68 8 9 15 12 102 164 28 72 127
223,163 109 15 122 156 68 63 164 103 138 111 9 108 30 16 102 130 95 28 160 133 139
224,27 123 111 166 12 34 102 164 82
225,49 163 131 109 164 122 139 138
226,109 34 65 122 24
227,74 123 111 102 34 53 11 88 64
228,123 8 160 61 108 132 150 165 102 11 24 14
229,49 10 123 8 109 9 26 61 108 151 63 102 41 133 11 122 162 95
230,27 135 50 109 30 20 105 35 164 122 89 64
231,19 74 111 115 8 20 62 165 65 88 130 95 103 47 138
232,102 69 20 164
233,49 123 90 160 165 12 48 164 73 128
234,14 8 111 160 15 32 105 165 12 65 102 11 128 156 56 143
235,112 123 150 115 160 62 138 165 80 102 164 95 128 156 46
236,90 109 15 122 56 25 164 138 111 16 165 34 28 95 72 128 160 61 132 133 119
237,94 49 123 111 8 61 93 18 162 56
238,15 122 156 56 63 164 92 27 105 165 34 95 29 36 159 45 12 133 47 119 64
239,90 123 15 1 119
240,49 6 85 123 90 8 160 30 105 102 130 164 95 122 69 156 138
241,39 123 160 1 59 164 121 156 88
242,8 109 15 1 11 122 121 156 103 123 105 165 130 159 45 44 12 133 64
243,94 123 8 109 20 105 18 151 102 65 12 63 122 162 88 14 66
244,27 8 16 102 130 164 95 122 156 14
245,37 160 148 44 30 15 165 138 102 63 34 119 133 122 29 24 69 88
246,49 20 122 11 69 26 62 164 9 165 34 130 28 128 75 12 35 99 140
247,109 40 15 20 122 13 23 164 88 138 14 70 30 16 165 102 95 128 135 160 12 47
248,123 68 40 30 165 102 130 138
249,8 150 15 64 40 165 88 164 138 14 145
250,49 85 20 122 11 68 63 164 149 92 30 165 102 95 144 39 137 75 64 12 133 47 99
251,49 90 8 109 56 68 164 138 14 27 67 123 111 9 108 30 165 102 130 41 39 119
252,49 24 109 9 26 12 63 102 116 164 73 121 128 138 14 152
253,19 90 68 111 108 40 15 130 164 98 162 159 99
254,50 163 85 20 138 102 104 21 133 122 72 11 24 156 144 14
255,135 149 8 121
256,38 111 44 30 62 1 102 83 130 164 122 11 138 64 145
257,49 20 122 121 156 56 10 87 63 164 138 14 143 27 74 123 70 108 105 16 165 102 51 95 113 45 12 97 133 157 64
258,49 15 40 11 156 103 143 78 30 16 102 34 28 95 128 100 135 12 104 133 140
259,49 40 20 11 122 10 87 98 138 143 145 67 105 102 160 44 12 133 157 64
260,50 159 111 61 20 12 102 164 69 156 138 92
262,160 9 45 40 15 138 1 164 11 88
263,109 32 15 1 122 11 91 156 56 63 164 88 138 27 123 108 30 105 165 34 130 95 162 73 28 61 12 140
264,112 15 116 11 156 158 56 164 27 123 165 102 28 95 44 132 12 133 64
265,49 150 15 20 142 1 26 164 88 138 145 78 74 123 120 105 102 34 28 162 43 127 135 39 160 45 12 119 22 99 140
266,9 44 105 164 122
267,123 160 40 132 165 1 34 102 84 130 164 53 11 63 103 122 138 92
268,94 6 109 20 122 164 83 143 67 120 105 165 102 19 160 75 44 12 64
269,39 123 9 108 40 20 105 165 102 63 130 164 133 162 48 88 138 64
270,150 109 8 40 20 11 156 164 103 14 143 82 27 111 9 105 102 34 24 160 44 12 64
271,27 10 6 160 111 109 15 56 20 102 130 156 127
272,39 8 9 20 165 151 34 102 164 133 95 122 156 138 14
273,40 1 11 122 69 156 164 138 88 92 123 9 105 165 16 102 51 95 162 73 97
274,14 111 109 160 40 105 165 130 164 122 156 138 64
275,49 160 44 12 102 1 116 164 41 11 159 138 64
276,94 14 54 138 12 102 65 164 28 11 88 64
277,74 123 109 61 16 165 21 102 130 164 133 122 128 138 64 92
278,8 40 105 166 16 165 73 156 83 14
279,94 6 49 109 20 122 11 138 92 145 105 16 102 73 28 159 39 44 133 119
280,85 123 14 137 8 160 108 132 105 102 3 164 28 64
281,19 160 9 61 40 30 105 54 108 12 164 95 122 28 156 138 64 82
282,19 123 131 160 32 164 95 122 2 119 156 138
283,39 49 123 150 15 20 165 138 102 130 164 122 11 159 88 127
284,8 109 20 1 11 156 56 164 138 67 111 9 105 165 102 130 95 162 44 133
285,40 15 165 164 73 133 138
286,49 19 85 23 109 15 12 102 98 122 11 121 158 138 145
287,109 40 15 20 3 122 156 56 63 103 138 14 92 111 30 105 65 130 95 72 44 61 12 133
288,27 39 123 160 109 61 26 40 30 20 165 12 51 164 2 24 156 138
289,112 150 40 59 122 158 164 149 88 138 14 70 120 165 16 102 34 65 21 95 162 24 125 39 44 12 104 133 47
290,39 10 85 123 68 44 61 20 1 63 102 164 95 98 103 139 138
291,27 10 123 150 160 44 108 15 105 0 12 34 164 133 11 122 107 64
292,49 90 111 109 160 44 165 16 164 29 11 122 138 143
293,49 68 9 61 64 138 102 65 11 47 156 159 14
294,85 109 20 117 122 10 54 164 98 138 145 123 165 16 34 102 95 52 44 12 47
295,49 150 109 40 20 156 63 164 138 14 27 123 108 165 16 102 130 144 160 44 133 64
296,123 68 8 160 20 164 122 69 156
297,123 111 109 32 30 26 105 40 102 84 95 122 133 88
298,49 8 32 109 150 20 53 63 164 103 88 138 145 74 120 102 34 130 84 21 159 39 12
299,39 26 12 164 122
300,85 35 43 14 92
301,27 49 74 127 123 109 61 30 40 105 1 21 29 17 139 156 159 14
302,49 8 115 40 20 166 1 122 11 156 56 10 63 164 138 14 145 67 123 105 165 130 19 44 119
303,94 90 11 56 68 18 164 88 14 82 120 105 165 21 130 73 50 44 45 119
304,106 85 128 14 9 142 12 88 158 139 138 64 92
305,30 12 28 128 156
306,85 90 150 109 20 56 164 138 92 143 38 67 123 120 30 165 132 151 99
307,78 10 19 61 12 63 102 80 164 133 122 11 69 138
308,30 20 102 130 164 122 138 99
309,26 132 105 63 11 2 24 138 14
310,10 74 131 123 8 160 1 164 139 138 64 144
311,94 1 122 11 91 18 164 148 138 165 102 34 28 144 135 160 133 119 140
312,94 90 20 81 59 122 156 77 88 138 82 123 105 102 89 128 159 39 160 12 104
313,67 123 109 156 30 20 165 16 12 164 133 24 107
314,163 109 15 11 122 156 26 164 103 138 14 105 102 65 130 28 95 128 160 61 132 12 119
315,10 111 23 30 15 20 16 65 164 128
316,8 15 20 1 122 13 11 69 26 18 138 143 67 111 30 16 102 21 162 39 12
317,39 49 6 163 145 109 44 93 105 102 63 73 122 121 156 82
318,6 106 85 8 109 150 122 11 156 56 68 164 82 27 74 123 9 30 105 165 102 130 162 12 133 47
319,129 123 159 109 45 26 12 117 34 83 122 149 17 156 138 22 14 143
320,27 90 68 160 109 30 20 54 65 102 130 164 95 21 88 156 138 64
321,39 49 6 160 40 12 102 153 35 164 133 29 24 88 14 145
322,94 6 115 40 11 122 156 23 18 25 164 138 88 143 111 9 108 165 102 34 73 95 39 160 12 119
323,85 90 8 40 122 138 145 27 74 123 9 105 165 102 34 130 29 128 127 135 160 61 12
324,9 45 30 105 95 122 69 138 99
325,134 109 44 12 102 122 11 156 46 14 92
326,19 90 111 109 110 20 12 21 130 164 122 11 149 148 156 56
327,85 111 30 12 102 48 130 35 164 122 103 156 158 14
328,12 102 164 72 121
329,94 20 59 122 11 156 56 10 0 164 138 74 111 51 102 130 127 160 12
330,112 49 85 123 15 26 165 12 164 133
331,49 85 8 115 109 40 122 156 63 164 103 138 14 27 74 123 111 9 30 105 102 130 73 128 96 160 93 12 64
333,94 141 49 90 8 20 11 122 156 66 10 68 23 18 63 164 82 27 145 123 111 30 165 102 130 29 24 128 159 43 135 45 58 12 2 47 99
334,49 109 40 15 122 11 69 23 26 0 98 88 14 145 123 105 34 160 44
335,39 160 95 122 119
336,42 132 20 165 104 95 122 159 138
337,141 109 15 122 69 68 23 54 62 14 123 9 165 21 28 128 135 19 160 44 58 133 64
338,49 123 8 102 138
339,123 165 102 133 156
340,49 10 6 123 8 160 15 12 63 162 103 138 14 143
341,102 47 73 9
342,160 40 15 105 102 35 164 133 91 24 47 138 145
343,135 122 11 149 119
344,49 123 131 160 9 45 40 142 102 164 133 95 149 91 103 69 29 92
345,150 11 122 46 56 62 164 98 103 14 92 27 123 9 30 105 165 102 65 130 24 160 132 12
346,49 68 160 109 61 30 105 62 102 164 162 159
347,123 120 23 44 15 16 12 34 95 122 66
348,163 8 109 20 166 122 11 156 56 164 138 14 67 165 34 130 95 159 45 132 12 99
349,112 8 20 1 48 122 11 156 26 25 148 27 123 111 9 105 165 34 128 159 135 61 44 133
350,49 106 8 109 150 40 20 122 156 56 10 18 164 138 14 27 67 111 9 120 105 165 102 95 28 128 39 44 133
351,131 150 109 115 165 12 164 11 88 14
352,135 10 49 8 61 30 105 54 165 63 130 164 98 138 82
354,163 161 150 40 1 122 156 63 164 88 92 145 67 34 130 52 45 12 139
355,127 68 9 44 56 146 12 63 102 41 164 95 28 133 156 64
356,94 150 109 40 20 156 56 68 164 138 145 27 67 123 111 16 102 130 28 162 44 12 133 99
357,85 123 68 70 30 40 132 16 138 12 63 164 53 11 122 95 159 88
358,61 138 123 102
359,27 106 111 44 164
360,27 123 68 44 20 165 80 102 88 130 164 133 24 156 138 99
361,141 49 111 44 15 165 16 102 130 164 95 122 11 128 156 138 64 157
362,123 115 40 16 48 164 162 24 138
363,39 135 78 44 40 61 105 12 102 60 58 28 122 162 148 156 14 92
364,112 78 50 61 64 12 102 65 130 164 73 162 59 138 56
365,112 49 94 109 20 122 69 46 131 23 26 164 98 149 138 14 143 92 123 30 165 16 34 102 130 162 152 159 127 39 135 160 93 45 151
366,74 111 160 115 40 20 165 12 102 1 130 164 73 122 133 56
367,102 133 96 11
368,85 8 109 32 80 122 156 10 26 92 82 145 123 30 105 102 65 21 34 159 39 50 61 12 58 139
369,39 61 30 15 20 165 138 151 102 164 53 122 139 159 88
370,74 68 111 160 30 102 11 14 92 145
371,94 20 11 122 56 26 0 164 138 27 123 9 105 165 102 95 162 135 160 12 99
372,68 102 130 164 156
373,141 85 90 150 8 15 11 156 56 10 68 88 27 67 102 28 24 144 12 133
374,49 6 8 115 40 116 59 122 156 134 63 149 143 70 111 105 165 65 102 128 137 154 104 64
375,87 106 123 160 15 165 92 11 162 133 139 143 145
376,49 106 141 15 40 48 53 122 156 131 26 164 14 9 30 95 39 135 61 45
377,85 90 8 109 115 20 122 69 56 68 138 14 30 102 130 84 95 24 159 144 39 44 12 133 64
378,49 150 109 32 40 20 142 53 122 11 26 25 98 138 14 27 30 105 165 21 95 125 160 12 35
379,27 123 15 20 12 34 164 28 11 122 162 128 156 138 92 107
380,112 6 90 109 20 59 122 156 56 68 77 164 149 138 123 70 111 165 102 162 89 39 135 12 35 119 99
381,94 150 122 156 56 164 14 92 67 123 16 102 21 130 95 73 128 127 19 44 12 133 64
382,90 10 63 74 67 123 111 9 105 165 65 34 130 102 159 39 45 139 64
383,85 109 117 26 54 164 138 14 123 9 105 34 102 95 28 128 135 44 12
384,70 111 109 93 15 105 20 54 164 59 133 98 118 122 69 92
385,30 40 164 91 99
386,106 8 40 15 59 122 156 56 54 63 17 88 14 143 27 74 30 105 165 16 51 102 130 34 128 39 160 44 61 12 157
387,94 6 8 115 20 57 69 46 56 54 25 138 123 111 34 95 19 160 44 119
388,163 109 1 48 156 66 68 31 63 164 138 123 111 130 28 95 89 12 35 133 64
389,49 141 163 85 150 15 20 117 122 156 107 10 25 164 138 88 14 27 123 70 105 165 102 65 130 34 21 95 127 160 44 151 133 99
390,49 131 108 30 61 20 142 165 88 59 53 164 28 138 144
391,32 45 40 30 138 165 102 133 11 122 95 159 14 144
392,109 40 1 122 156 10 26 54 164 138 27 74 67 123 30 165 28 29 162 73 12
393,49 53 11 69 156 158 131 147 63 164 143 30 105 29 24 44 45 12 133
394,15 40 122 107 56 68 138 14 38 9 108 165 130 29 72 39 133 139 64
395,6 49 163 90 40 122 121 69 68 63 74 123 111 42 30 105 165 21 102 130 95 162 152 144 39 45 61 132 12 35 133
396,78 6 19 74 129 39 150 9 93 76 64 85 94 12 130 164 133 56
397,112 49 8 109 15 122 156 23 18 63 164 138 88 143 67 30 165 102 130 84 95 39 160 133 64
398,94 49 15 53 122 11 156 56 10 63 164 17 138 88 74 123 111 42 30 165 65 102 130 95 24 19 160 61 12 133 47 119 22 64
399,90 20 59 122 156 56 10 149 103 138 88 145 123 9 105 165 102 34 73 24 93 44
400,94 49 123 115 30 20 165 12 102 104 59 138 14
401,49 85 40 20 1 122 11 156 158 164 88 14 92 123 108 105 165 34 84 24 160 12 133 64
402,94 123 111 58 12 164 133 88 14
403,27 90 131 45 30 15 54 12 102 58 164 95 156 138 14
404,27 130 164 122 56
405,40 20 166 156 56 26 63 164 149 123 111 9 108 105 165 159 160 44 12 99
406,135 105 20 63 102 133 162 98
407,49 8 15 53 122 10 68 164 88 83 14 138 123 67 111 30 105 34 102 95 127 39 12 64
408,94 6 85 115 40 20 1 122 156 158 56 164 99 88 14 67 123 9 30 105 165 65 102 84 95 162 128 43 135 39 133 119 64
409,39 10 49 123 68 111 45 30 40 20 26 165 1 12 164 122 138 14
410,8 30 165 102 34 130 164 73 11 65 122 28 69 156
411,94 49 135 160 53 95 122 11 128 159
412,8 150 40 122 69 156 56 164 149 92 143 27 67 123 111 105 16 165 102 130 100 144 12 133 99
413,135 70 40 62 165 80 164 162 145
414,39 123 111 109 76 15 102 88 63 119 133 164 156 138
415,27 94 85 67 70 109 64 132 105 102 130 164 95 122 17 11 56 92
416,40 20 122 156 56 26 25 164 138 145 67 9 30 105 34 102 130 84 95 128 160 44 139 64
417,112 141 150 109 15 20 53 122 11 7 46 63 99 138 82 145 123 111 105 16 165 102 130 39 64
418,132 12 104 164 138
419,112 6 153 122 11 156 46 54 164 138 92 108 16 34 95 162 128 159 160 12
420,39 14 90 45 40 48 130 164 95 133 156 56
421,94 49 150 110 20 1 11 122 69 26 164 138 88 146 16 165 102 95 73 127
422,39 49 139 106 123 30 164 7 133 162 148 156 119
423,27 123 8 109 105 166 165 12 102 16 130 133 11 128 156 138
424,163 90 123 8 109 160 102 130 164 59 122 156 138 56 145
425,123 150 115 15 105 165 12 88 138 14
